Name,Salary
Dante Exum,"$10,844,315 "
Kenneth Faried,"$14,571,058 "
Derrick Favors,"$17,289,521 "
Cristiano Felicio,"$8,666,224 "
Raymond Felton,"$2,449,062 "
Terrance Ferguson,"$2,167,676 "
Yogi Ferrell,"$3,069,145 "
Dorian Finney-Smith,"$1,580,559 "
Bryn Forbes,"$3,197,026 "
Evan Fournier,"$17,391,826 "
De'Aaron Fox,"$5,597,017 "
Tim Frazier,"$1,874,334 "
Melvin Frazier,"$1,074,201 "
Michael Frazier,"$48,461 "
Jimmer Fredette,"$203,155 "
Channing Frye,"$2,449,062 "
Markelle Fultz,"$8,532,102 "
Wenyen Gabriel,"$76,728 "
Danilo Gallinari,"$22,085,143 "
Langston Galloway,"$7,161,340 "
Billy Garrett,"$68,922 "
Marc Gasol,"$24,674,935 "
Pau Gasol,"$17,528,182 "
Rudy Gay,"$10,319,696 "
Paul George,"$31,265,082 "
Taj Gibson,"$14,322,680 "
Jonathan Gibson,"$77,993 "
Harry Giles,"$2,257,909 "
Shai Gilgeous-Alexander,"$3,453,157 "
Manu Ginobili,"$2,557,621 "
Rudy Gobert,"$24,033,021 "
Archie Goodwin,"$79,030 "
Brandon Goodwin,"$58,155 "
Aaron Gordon,"$22,088,549 "
Eric Gordon,"$13,811,540 "
Marcin Gortat,"$13,877,877 "
Treveon Graham,"$1,547,464 "
Devonte Graham,"$1,011,246 "
Jerami Grant,"$8,525,404 "
Jerian Grant,"$2,700,145 "
Donte Grantham,"$79,030 "
Draymond Green,"$17,872,214 "
Danny Green,"$10,230,486 "
JaMychal Green,"$8,252,592 "
Jeff Green,"$2,449,062 "
Gerald Green,"$1,547,464 "
Blake Griffin,"$32,608,582 "
Daniel Hamilton,"$1,380,484 "
Justin Hamilton,"$1,023,048 "
Dusty Hannahs,"$48,461 "
James Harden,"$31,274,596 "
Moe Harkless,"$11,086,858 "
Montrezl Harrell,"$6,138,291 "
Gary Harris,"$16,898,570 "
Tobias Harris,"$15,141,119 "
Joe Harris,"$8,525,404 "
Devin Harris,"$2,449,062 "
Shaquille Harrison,"$1,356,082 "
Andrew Harrison,"$362,669 "
Josh Hart,"$1,693,309 "
Isaiah Hartenstein,"$857,789 "
Udonis Haslem,"$2,449,062 "
Spencer Hawes,"$2,053,317 "
Gordon Hayward,"$31,933,741 "
John Henson,"$10,821,262 "
Juan Hernangomez,"$2,216,291 "
Willy Hernangomez,"$1,530,992 "
Mario Hezonja,"$6,649,816 "
Isaiah Hicks,"$79,030 "
Stephan Hicks,"$48,461 "
Buddy Hield,"$3,922,122 "
Haywood Highsmith,"$79,030 "
George Hill,"$19,437,923 "
Solomon Hill,"$13,057,647 "
Jrue Holiday,"$27,255,151 "
Justin Holiday,"$4,603,718 "
Aaron Holiday,"$1,958,606 "
John Holland,"$79,030 "
Rondae Hollis-Jefferson,"$2,527,294 "
Richaun Holmes,"$1,637,409 "
Rodney Hood,"$3,552,932 "
Scotty Hopson,"$77,993 "
Al Horford,"$29,595,476 "
